Model,Horizon,RMSE,MAE,R2,MAPE,HitRate,Bias
SARIMA,t+1,0.8923167515963677,0.6687707241194853,0.24674203067142164,227.98378811806182,93.10344827586206,-0.15745865757696234
SARIMA,t+3,1.0502873518903022,0.8291993025328136,-0.03984411273155786,238.9571452169769,93.10344827586206,-0.28208298058103976
SARIMA,t+6,1.215847298494989,0.9865834328638436,-0.38666922159163675,228.2506201421482,93.10344827586206,-0.48958023671329437
Ridge,t+1,0.2282015673694493,0.17757370577595824,0.9507345006841863,53.582666847031255,98.27586206896551,-0.03381180610944409
Ridge,t+3,0.48101319154088884,0.3792953041095901,0.7818948402003374,109.03781943333632,97.41379310344827,-0.0801691999240373
Ridge,t+6,0.7012270983095541,0.5982475535370892,0.5387544500827647,158.50871285852227,96.55172413793103,-0.16784854470760394
XGBoost,t+1,0.3320043357643542,0.23046862641512322,0.8957218894244784,55.956356098001436,97.41379310344827,-0.11792373484384396
XGBoost,t+3,0.5840519580663512,0.4530182503291527,0.6784452459497451,92.37840533331385,96.55172413793103,-0.22474200004611805
XGBoost,t+6,0.8162499305393036,0.6769343273026496,0.3750271913838168,122.93720167381427,96.55172413793103,-0.29843347927114827
LSTM,t+1,0.34971370451008577,0.2845733498911624,0.8843006427712123,69.29049528107795,97.41379310344827,-0.17027282402704627
LSTM,t+3,0.6849388833309572,0.5740599541520456,0.5577624563998047,102.4858803105202,96.55172413793103,-0.4069755920195785
LSTM,t+6,1.0160690948347195,0.8136321615507273,0.031585481995059395,118.65815340944003,96.55172413793103,-0.5989924336922579
