,precision,recall,f1-score,support
Extremely wet,0.9166666666666666,0.8461538461538461,0.88,13.0
Moderate drought,0.75,0.75,0.75,4.0
Moderately wet,0.6363636363636364,0.6666666666666666,0.6511627906976745,21.0
Near normal,0.9016393442622951,0.9322033898305084,0.9166666666666666,59.0
Severely wet,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
accuracy,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517
macro avg,0.7938751059291078,0.7758468857933621,0.7840103359173127,116.0
weighted avg,0.8276416905731407,0.8275862068965517,0.8268963289672994,116.0
